Job_name,Company_name,Location_name,Job_description
construction purchasing/Warehouse management,Hansen Cold Storage Construction,"vernon, CA","Hansen Cold Storage Construction is a full service construction company based out of Vernon, Ca. We specialize in building industrial sized coolers, freezers, & processing rooms. We are looking for a new and knowledgeable purchasing agent to bring their skills to our team to aid in our growth.
Job Duties: We are looking for sometime to possess the right qualities and skills to handle a multi faced position of not limited to: Purchasing Agent, Procurement, Warehouse manager, and Inside Sales.
Shop, source, and purchase construction material needed for job sites.
Maintain given budget for items purchased
Manage company driver logistics for delivery and pick up of materials
Oversee warehouse organization and maintain a properly stocked warehouse
Maintain an extremely organized inventory list
Review shop drawings for doors and sign off
Manage and track all job site deliveries
Manage and expand our material sales footprint. Take our material sales side to the next level
Input purchase orders & material transfers into quick books
Knowledge of construction materials and industry is requires
Knowledge of Quickbooks is required
Qualities
Excellent organization
Strong ability to multi-task
Strong computer skills
Precise and effective communication
Self educating
Leadership and confidence
Self motivated & continued growth
Major team player
Strong foresite and execution
Innovative
Additional helpful qualities/capabilities
Proficient in Microsoft office
Familiar with Amazon Sales
Bilingual"
Controller construction company,"Ford EC, Inc.","Los Angeles, CA","Controller for Construction company

Duties: oversee progress payments. Subcontractors/vendor payments.  Payroll for employees and overall financial oversight for a small size construction company

Experience:Minimum 5 years more experience preferred. Knowledge and Past Experience with Sage 100 Construction Accounting Software (Master Builder and/or Timberline equivalent). Accounting principles knowledge is requested with ability to assist in preparation of financial reports, Tax and audit reports and overall payroll background. 

Needs to be able to work in team environment with a local Public Works contractor. Looking for leader that can is ready to be part of a growing company and help with the overall financial matters for day to day construction.  Only qualified applicants requested.
Applicants should have a bachelor's degree in accounting or finance, a business administration degree will be considered with adequate experience "
Construction Senior Superintendent,Webcor,"Los Angeles, CA","Who We Are:
Webcor employs people of integrity and passion to build diverse, high-profile, and innovative structures for our clients. Webcor was founded in San Francisco in 1971. We are still headquartered in San Francisco and are committed to growing throughout California (and beyond). Through career development and employee-specific rotation plans, we foster collaboration across our construction management divisions (Core & Shell and Special Projects) and self-perform groups (Concrete, Interior Construction Group, and Paramount Drywall). We provide craft professionals, experienced professionals, and new graduates with financial, health, and wellness benefits that encourage and reward individual contribution.
Why Join Us?
We love to build for both public and private owners. We don’t shy away from what we have never done before.
We are deeply connected to continuous improvement. We welcome better ways of doing things.
The U.S. GREEN BUILDING COUNCIL has recognized us with multiple LEED PLATINUM awards for our commitment to sustainable design, communities, and construction.
Career tracks are clear and we encourage employee mobility and development.
We pay an average of over 85% of the cost of medical benefits for employees and their families. We cover the total cost of dental, vision, life, and disability insurance. We offer a generous 401(k) match. And we offer a range of other benefits, from a wellness program to legal assistance.
What You’ll Do:
As a Project Engineer in our Concrete division, you’ll have both hands-on experience and training and development opportunities to ensure you’re on a clear path for growth and rotation within the organization. You will:
Learn how to build, including all aspects of the planning and execution process.
Assist the Project Manager and team members in the planning, coordination, and administration of assigned projects. This includes areas such as RFI’s, contracts, change orders, purchasing, scheduling, and progress reports.
Track and perform jobsite safety meetings. Promote safety at all times.
Focus on continuous improvement and innovation in all you do.
What You Need to Succeed:
A Bachelor’s degree (preferably in Construction Management, Civil or Mechanical Engineering, or Architecture) or equivalent experience.
Minimum two years construction experience.
Basic knowledge of contract formats, surveying, scheduling drawings, and construction sequencing.
Advanced knowledge of MS office, Adobe, and Visio.
Basic drafting skills using CAD.
You love communicating! You are also a born leader and enjoy using creativity to solve problems.
You are authentic and are known for going above and beyond what is asked of you.
The Legal Stuff:
Webcor is AN EQUAL OPPORTUNITY EMPLOYER.
Performance of the required duties will require physical ability to climb permanent and temporary stairs, passenger use of construction personnel hoists, ability to climb ladders and negotiate work areas under construction.  Specific vision abilities required by this job include close vision, peripheral vision, depth perception, and the ability to adjust focus.  Performing this job requires use of hands to finger, handle, or feel objects, tools or controls, sit, talk, hear, stand, climb, balance, stoop, kneel, crouch, or crawl.  While performing the duties of this job, the employee regularly works on-site at the construction work site where the employee is exposed to moving mechanical parts, high precarious places, fumes or airborne particles, outside weather conditions, and risk of electrical shock.  The noise in these work environments is usually moderate to very loud.  This is a general statement of required major duties and responsibilities performed on a regular and continuous basis. It does not exclude other duties that may be assigned.
#KRT
BackShare
Apply Now"
Construction Superintendent,LavaRock LLC,"Los Angeles, CA","My Client is one of the Top Growing Commercial Construction Companies in the Los Angeles Area. They have a stellar reputation and work on interesting projects in a variety of industries.
This opportunity will provide a strong opportunity for advancement, top compensation and a great culture.
Create construction schedules, perform regular updates, coordinate jobsite logistics and maintain relationships 
Maintain Jobsite Safety
Coordinate subcontractor work scopes and scheduling
Participate in pre-construction budgeting, scheduling and design
Maintain relationships with customers, architects, union representatives, subcontractors, etc
Coordinate, plan and supervise team
 REQUIRED EDUCATION AND WORK EXPERIENCE
Presumes all skills and experience listed for Superintendent including:
At least 5-10 years of construction experience
 Keywords: Construction Superintendent, Superintendent in LA Superintendent, Los Angeles Commercial Construction Superintendent, Southern California Construction Superintendent, Mixed Use Superintendent, K-12 Superintendent, DSA Superintendent, OSHPD Superintendent, Multi Family Superintendent, MOB Superintendent, Corporate Office Construction Superintendent, Ground up Construction Superintendent, TI Superintendent"
Construction Project Manager - High End Home,CyberCoders,"Marina del Rey, CA","If you are a Construction Project Manager with Custom Home Building experience, please read on!
What You Will Be Doing
Planning Responsibilities
-Create a schedule for the project
-Responsible for reviewing and commenting on all architectural, mechanical, structural, engineering plans and any other
reports or plans as needed. Also oversee and coordinate all architectural plans and specifications, including the review of plans for accuracy and efficiency
from conceptual to the completion of construction documents
-Prepare a detailed, itemized budget for all segments of the development, pre-construction, and construction of the project
-Responsible for the creating of spreadsheets listing in detail the various building components to be constructed. Components to be cataloged include, but are not limited to: doors, windows, plumbing fixtures, electrical fixtures
-Working with other team members, shall be responsible for the creation of the individual subcontractor scope of work documents,
assuring coordination between the project scope of work and the project plans
-Responsible for the distribution of plans to subcontractors and following up on the receipt of bids for the project
-Create and prepare a bid analysis for each trade/subcontractor bid
-Contract and material buyout

Administrative Responsibilities
-Responsible for the issuance of the subcontract to the chosen subcontractor, including all associated exhibits and project
requirements
-Responsible for keeping copies of all project documentation, including schedules, budgets, subcontracts, permits, inspection
records and other documents and updating all project documents as the project progresses, giving reports regarding the budget and schedule to the COO and
owner once a week, or as directed
What's In It for You
- Vacation/PTO
- Medical
- Dental
- Vision
- Relocation
- Bonus
- 401k
- Telecommute
If you are a Construction Project Manager with Custom Home Building experience, please read on!"
Construction Management Positions,Company Confidential,"Los Angeles, CA","Construction Management firm seeks applicants for multiple project positions:

Senior Project Manager:

Abilities:  This position will possess the abilities to work effectively with little or no supervision; manage multiple deadlines and schedules; build and manage multiple project teams; maintain and implement a clear vision to achieve client objectives; and to implement strategies for project and client objectives. This position will also possess the ability to identify and resolve conflict; negotiate and mediate issues and work to achieve client and firm objectives.

Responsibilities: This position will provide daily overall management of the project team. Within that capacity, the Senior Project/Construction Manager will be responsible for project and program schedule, budget and cost controls; contract and payment controls; implementation of the project/program management plan; implementation of the project design and construction manuals; development of materials, as required, for client presentations, as well as the provision of leadership in the review of the planning, design processes as defined and the management of the construction process including bid and award. The successful candidate may be responsible for multiple projects simultaneously, ranging in construction value from $2M to $100M.

Knowledge/Experience:
10-15 years experience in project/construction management of commercial and/or public facilities and familiarity with public contract code.
5 years experience in educational facility construction preferred.
BS or BA in architecture, engineering, urban planning, construction management or a closely related field.
Work experience in construction or construction related field, license as a general contractor or architect and/or certification by a recognized institution in Construction Management may substitute for a degree
CCM Preferred but not required
Knowledge of construction means and methods, all construction types
Knowledge of the UBC and CBC
Proficient in MS Word, Excel
Proficient in technical writing and computer usage
Familiarity with Microsoft project and/or P3

Project Manager

Abilities: This position will possess the abilities to work effectively with little or no supervision; manage multiple deadlines and schedules; build and manage multiple project teams; maintain and implement a clear vision to achieve client objectives; implement strategies for project and client objectives; identify and resolve conflict; negotiate and mediate issues; work to achieve client and firm objectives.

Responsibilities: This position will provide daily overall management of the project team. Within that capacity, the Project Manager will be responsible for project and program schedule, budget and cost controls; contract and payment controls; implementation of the project/program management plan; implementation of the project design and construction manuals; Development of materials, as required, for client presentations; Providing leadership in the review of the planning, design processes as defined; Management of the construction process including bid and award; Management of multiple projects simultaneously, ranging in construction value from $2M to $100M; A role in marketing and business development efforts; Implement the standards and practices of the firm to foster its growth

Knowledge/Experience:
6-9 years experience in project/construction management of commercial and/or public facilities and familiarity with public contract code.
5 years experience in educational facility construction preferred.
BS or BA in architecture, engineering, urban planning, construction management or a closely related field.
10-12 years of experience in construction or construction related field, license as a general contractor or architect and/or certification by a recognized institution in Construction Management may substitute for a degree
CCM Preferred but not required
Knowledge of construction means and methods, all construction types
Knowledge of the UBC and CBC
Proficient in MS Word, Excel
Proficient in technical writing and computer use
Familiarity with Microsoft Project and/or P3

Project Engineer

Abilities: This position will possess the abilities to work effectively with little or no supervision; manage multiple deadlines and schedules; provide support to multiple project teams; maintain and implement a clear vision to achieve client objectives; implement strategies for project and client objectives; identify and resolve conflict; provide support in the negotiation and mediation of project issues; work to achieve client and firm objectives.

Responsibilities: Specific major areas of responsibility include, but are not limited to: Assist the Project team with the daily technical and administrative duties; assist the Project team with the project schedule; budget and cost controls; contract and payment controls; assist in the development of the project/program management plan; assist in the development of the project design and construction manuals; assist in the development of materials, as required, for client presentations; assist in the review of the planning, design processes as defined; assist in the construction process, including bid and award; assist in the Management of multiple projects simultaneously, ranging in construction value from $2M to $100M; participate as required in marketing and business development efforts; implement the standards and practices of the firm to foster its growth.

Knowledge/Experience:
3-5 years experience in project/construction management of commercial and/or public facilities and familiarity with industry standard routines and procedures.
2 years experience in positions related to candidate project(s) preferred.
AA degree, BS or BA in architecture, engineering, urban planning, construction management or a closely related field.
5-8 years of experience in construction or construction related field, license as a general contractor or architect and/or certification by a recognized institution in Construction Management may substitute for a degree
Knowledge of construction means and methods, all construction types
Knowledge of the UBC and CBC
Proficient in MS Word, Excel
Proficient in technical writing and computer usage
Familiarity with Microsoft Project and/or P3
Jobsite safety
 
Successful candidates will join teams working on construction projects of educational facilities (K-12, CC, etc.) located in the greater Los Angeles area.

Competitive compensation and comprehensive benefits package offered.

Fax, or Email resume, qualifications, and list of relevant projects to:

626-578-7377 fax
hr@brjassociates.com
Please specify which position you are applying for."
Construction Coordinator,"EPCM-RMS, Inc","Los Angeles, CA","Job Description
 Reports to the Los Angeles Area Manager and provides onsite leadership, coordination, and direction for construction management activities in the Underground Storage Tank (UST) and Aboveground Storage Tank (AST) construction projects in the regional area. Duties includes ensuring the project(s) is on budget, schedule, in conformance with contractual and safety requirements. May supervise additional project staff such as: Project Managers, Construction Managers, Field Engineers, Coordinators, Inspectors, or Administrative staff.
 Essential Duties & Responsibilities:
Providing construction management services in the Underground Storage Tank (UST), Aboveground Storage Tank (AST), and reservoir/tanks markets
Strong knowledge of contracts, drawings, estimates, and specifications to ensure relation and compliance to project requirements
Responsible as onsite liaison with contractor and oversight of progress of construction
Coordinate, direct, and monitor activities of contractors/subcontractors, engineers, architects, clients, regulators, and related performing entities
Manage project controls, cost, schedule, performance activities, inspection, and procedures required by the client
Conduct project meetings and provide documentation, administration, and tracking of relevant information
Ensure contractors, architects, and engineers will adhere to contractual requirements on areas of safety, performance, project staff, and equipment
Provide management of project logistics, organization, safety, and staffing utilization
Ensure project closeout to obtain guarantees, warranties, and related provisions for turnover to the owner
Regularly report to Client senior management on project(s) performance
Perform other duties as required to ensure project success
Minimum Qualifications:
Bachelor's Degree in Civil Engineering, or Construction Management is required
10+ years of experience as a Sr. Construction Manager with Underground Storage Tank (UST) and Aboveground Storage Tank (AST).
Strong familiarity with Los Angeles region regulatory and permitting agencies is required
Strong familiarity with Los Angeles region consultants, contractors and sub-contractors is required
Knowledge and application of construction estimating, cost, project controls/scheduling, documentation, engineering/construction principles, techniques, materials, applications, and practices are required
Strong oral and written communication skills are required
Project Management Professional (PMP) or Certified Construction Manager (CCM) is preferred
Strong computer skills and familiarity with Microsoft Office Suite products, and experience with project related Construction Management systems (e.g., Primavera, PMWeb, eBuilder) is preferred"
Superintendent - Construction,Michael Page USA,"Los Angeles, CA","Excellent opportunity for an experienced Construction Superintendent who is motivated to grow in their career at an established general contractor in Los Angeles.
Competitve pay and benefits
High value projects with a huge potential for career growth


Client Details

Our cilent is a well-respected, full-service general contractor in Los Angeles that has a diverse array of project types where a full-time Superintendent is needed.

Description
Manage large on-site teams to efficiently complete projects
Work alongside the estimators and project managers to ensure a successful project
Review and manage costs of materials and equiptment
Allocate resources for assigned projects
Assist in resolution of scope conflicts
Participate in marketing proposals and presentations
Demonstrate strong ability to analyze work flows, processes, production, and assemblies to determine alternative solutions
Adhere to/comply with the company's policies


Profile
6 years of experience with a general contractor/construction manager on civil construction projects
3 years of Superintendent experience
Bachelor's degree in one of the following: Construction Engineering, Civil Engineering, Construction Management, Architectual Engineering or equivalent
Experience with HCSS heavy is a plus
Strong leadership with the ability to mentor and train employees


Job Offer
Competive bonus structure
Huge potential for promotions and career growth
401K
Full benefits
PTO"
Construction Project Estimator,Goldrich Kest,"Culver City, CA","Goldrich Kest is currently seeking a Construction Project Estimator to be based in our Corporate office in Culver City, CA. The selected individual shall provide the day-to-day leadership necessary to direct material control, equipment, subcontractors and local authorities in construction of the project. This includes input on estimates, schedules and quality control during the project pre-construction phase. The Construction Project Estimator shall work the necessary time to fulfill the requirements of project objectives and completion schedule and maintain best practices in field operations to ensure timely completion of projects, quality control and compliance with OSHA standards.

Responsibilities:
• Projects and controls construction costs by collecting and studying information; controlling construction costs.
• Prepares work to be accomplished by gathering information and requirements; setting priorities.
• Prepares construction budget by studying home plans; updating specifications; identifying and projecting costs for each elevation.
• Evaluates offers to purchase by costing changes, additions, and site requirements.
• Obtains bids from vendors and subcontractors by specifying materials; identifying qualified subcontractors; negotiating price.
• Maintains cost keys and price masters by updating information.
• Resolves cost discrepancies by collecting and analyzing information.
• Prepares special reports by collecting, analyzing, and summarizing information and trends.
• Maintains quality service by following organization standards.
• Maintains continuity among corporate, division, and local work teams by documenting and communicating actions, irregularities, and continuing needs.
• Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies.
• Contributes to team effort by accomplishing related results as needed.

Skills and Qualifications:
• Analyzing Information
• Developing Budgets
• Reporting Skills
• Documentation Skills Quality Focus
• Review and evaluate cost estimates
• Communicate with trade partners and team members regarding new and current projects
• Prepare estimates and purchase orders in detail for all products
• Ensure timely completion of estimates
• Understand scope of work to bid
• Manage bid pricing from all vendors
• Prepare cost analysis
• Establish and maintain working relationships with vendors and subcontractors

Requirements:
• 3+ years’ experience in construction estimating
• Bachelor’s Degree in Accounting, Applied Science, Civil Engineering or related field
• Able to read architectural plans and develop cost estimates
• Strong understanding of residential construction processes
• Proficiency with MS Word and Excel
• Able to multi-task and meet strict deadlines
• Impeccable problem-solving skills
Goldrich Kest provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, marital status, veteran status, or any other consideration made unlawful by federal, state, or local laws. Goldrich Kest is committed to providing reasonable accommodation for qualified applicants, and employees with disabilities to ensure they enjoy equal access to all employment opportunities and benefits of employment as required by the Americans with Disabilities Act."
Error loading,Error loading,Error loading,Error loading
Custom Home Construction Superintendent,"Tipping Development, Inc.","Monrovia, CA","Custom Home Construction Superintendent
Our established construction firm is growing, and we have an excellent opportunity for an experienced Custom Home Construction Superintendent to join our team. We are looking for a Superintendent that will manage the onsite construction of residential custom homes. Candidates should have experience with project management and custom home construction, as well as the ability to adhere to firm deadlines. The ideal candidate should have a high sense of urgency, be organized and dependable.
 Responsibilities
Schedule and coordinate the work on the jobsite with all subcontractors, consultants, and vendors, as well as ensure their completion of work within time allowed.
Superintendent shall supervise all subcontractors and vendors on a daily basis.
Ensure that the project is constructed in strict accordance with plans, specifications, and local codes.
Communicate with the Project Manager regarding work that deviates from the approved plans.
Responsible for the timely completion of the project.
Enforce safety regulations around the jobsite by adhering to OSHA regulations.
Responsible for inspections and quality control of projects.
Walk the project on a daily basis to monitor progress and work.
Check vendor delivery tickets to ensure the accuracy of materials being delivered.
Manage the customer service of clients while working on projects.
Conduct closing walk-through with clients.
Monitor BMPs and SWPPP requirements.
Work with Decorators.
Job Qualifications
Residential construction knowledge required.
Knowledge of San Gabriel Valley, Pasadena, Diamond Bar jurisdictions.
Must be able to travel daily to the jobsite.
Ability to multi-task and meet strict deadlines.
Ability to problem solve.
Time-management skills.
Be detail oriented and organized.
Ability to work with and manage a large team of subcontractors.
In-depth knowledge of construction materials and suppliers.
Knowledge of MS Word and Excel a plus.
Must have valid driver’s license, clean DMV record and pass background check.
High school diploma or GED equivalent.
Required Skills and Knowledge
Ten (10) years of on the job experience as a Custom Home Superintendent required.
Knowledge of all trades, including subterranean parking structures, grading, waterproofing and shoring required.
Provide three (3) Letter of References.
Must be able to write a construction schedule.
Ability to apply concepts of basic algebra and geometry.
Must be able to read architectural, structural, landscape and civil plans.
Analyze drawings and specifications.
Communicate effectively, both verbal and written.
Ability to work in a fast pace environment, meet deadlines, and react well under pressure.
Project Management experience is highly desirable.
Established relationships with subcontractors and vendors is preferred.
Physically lift, push or pull up to 50 lbs.
Must be knowledgeable and experienced in all construction methodologies and procedures.
Must have a high sense of urgency.


Tipping Development, Inc., is an Equal Employment Opportunity (EEO) employer and welcomes all qualified applicants. Applicants will receive fair and impartial consideration without regard to race, sex, color, national origin, age, disability, veteran status, genetic data, gender identity, sexual orientation, religion or other legally protected status, or any other classification protected by federal, state, or local law."
Construction Electrical Estimator,Aerotek,"Los Angeles, CA","Electrical estimator for large, international construction management firm for a multi-billion dollar, multi-year high-profile institutional project. They will report to lead estimator of joint venture team and do estimates on labor, material, costs for electrical portion of project that includes administration office, medical facility, rooms, beds, parking, hospitality and kitchen for a jail.



About Aerotek:
We know that a company's success starts with its employees. We also know that an individual's success starts with the right career opportunity. As a Best of Staffing® Client and Talent leader, Aerotek's people-focused approach yields competitive advantage for our clients and rewarding careers for our contract employees. Since 1983, Aerotek has grown to become a leader in recruiting and staffing services. With more than 250 non-franchised offices, Aerotek's 8,000 internal employees serve more than 300,000 contract employees and 18,000 clients every year. Aerotek is an Allegis Group company, the global leader in talent solutions. Learn more at Aerotek.com."
Finishing Foreman,Randstad,"Monrovia, CA","Randstad is currently seeking an entry level hand finisher for one of our customers in the city of Monrovia. If you have entry level machine shop experience this may be the job for you! If you are interested please send a resume or a brief description of your machine shop experience to madison.teodo@randstadusa.com

Responsibilities:
-- File grooved, contoured, and irregular surfaces of plastic object and machine parts, to conform to templates, other parts, layouts, or blueprint specifications.
-- Grind, sand, clean, or polish objects or parts to correct defects or to prepare surfaces for further finishing, using hand tools and power tools.
-- Load and adjust work pieces onto equipment or work tables, using hand tools.
-- Measure and mark equipment, objects, or parts to ensure grinding and polishing standards are met.
-- Move controls to adjust, start, or stop equipment during grinding and polishing processes.

Working hours: 5:30 AM - 2:30 PM

Skills:
-- Shop Math Skills Including the Ability to Perform Measurement Conversion.
-- Ability to Use Various Inspection Tools Such as Micrometers, Calipers, Height Gages, and Comparators.
-- Ability to Read and Understand Blueprints and Technical Documents.
-- A Genuine Belief in Continuous Improvement and a Disciplined Process.
-- Organization and Time-Management Skills.
-- Excellent Verbal and Written Communication Skills.

Qualifications:
If you are interested in this position please reach out to Randstad City of Industry 626.918.4600

Randstad is a world leader in matching great people with great companies. Our experienced agents will listen carefully to your employment needs and then work diligently to match your skills and qualifications to the right job and company. Whether you're looking for temporary, temporary-to-permanent or permanent opportunities, no one works harder for you than Randstad. EEO Employer: Race, Religion, Color, National Origin, Citizenship, Sex, Sexual Orientation, Gender Identity, Age, Disability, Ancestry, Veteran Status, Genetic Information, Service in the Uniformed Services or any other classification protected by law. San Francisco Fair Chance Ordinance: Qualified applicants in San Francisco with criminal histories will be considered for employment in accordance with the San Francisco Fair Chance Ordinance."
Legal Office Site Supervisor,Ricoh,"Los Angeles, CA","RICOH EMPOWERS WORKPLACES using innovative technologies & services enabling individuals to work smarter. Our people deliver on the promise of Service Excellence.

Ricoh offers a full portfolio of benefit and employee programs such as:

· Medical Coverage & Vision Coverage
· Dental Coverage
· Short/Long Term Disability
· Term Life and AD&D Insurance
· Spouse and Dependent Life Insurance
· Flexible Spending Account
· EAP and Work Life Benefits
· Time off Benefits including: Vacation, Sick, and Holiday
· Tuition Reimbursement......and many more

Ricoh offers Full Time and Part Time positions with a developmental path and a range of training resources to meet employees' different needs. From on-boarding training to continued development for all of our employees, we provide many resources to set our employees up for continued success.

Ricoh works to motivate employees with competitive pay and benefits that are affordable. We offer proven career paths - locally, regionally, and nationally.

WE ARE RICOH! Apply today!

 
POSITION PROFILE

Supervises day-to-day operations of specified 1-3 person site within a Legal office/environment. Typically does not have hiring, firing or job performance responsibility for the personnel on site. At these sites, the employees report directly to the IAM. May run shifts or site solo. Develops, implements and reviews related procedures. Invoices accounts and interacts with customers; assists in maintaining acceptable profit levels and ensures that customer expectations are met.Able to interact with high level executive customers. The Site Supervisor is the point person on site for customer issues and contract compliance. Functions as a document specialist or other operations worker. If a site exceeds 3 people, it may have a Site Manager or Assistant Manager if part of a larger campus-environment site.

JOB DUTIES AND RESPONSIBILITIES


Responsible for effective implementation and management of RICOH Service Excellence.
Possess understanding of Client Matter (Legal) to include but not limited to:
Charge back to firm and/or clients with work/supplies/ hours, etc
Familiar with charge back systems (Copitrak/Equitrak, etc)
Familiar with processes of Closing Binder, understanding Depositons, knowledge of Court Systems and how items are delivered
Assist with scheduling equipment, labor and supplies for an offsite trial
Functions as a document specialist or other operations worker.
Handles formal contact with the customer on a daily basis in MS.
Handle highly sensitive and confidential documents that may be time sensitive
Provide upmost in quality work due to the sensitive nature of documents and projects that are required in a legal environment
Responsible for interacting and providing professional level support to executive level end users at various levels, including: legal secretaries, project managers, paralegals, associates and partners
Perform quality accurate jobs/projects that may require tight deadlines and potentially under high pressure

Provides training on workflow and machine operations when necessary.
Ensures payroll accuracy by overseeing and correcting all time clock punches.
Achieves shift profitability in the area of cost of goods by effectively supervising the shift in the use of company materials and supplies.
Ensures the quality of operations for shift by assisting in the achievement of goals in Audit and Deadline compliance.
Meets quality and deadline standards by the effective use of job scheduling practices.
Maintains efficient workflow by holding direct reports accountable for quality and efficiency of their work.
Facilitates resolution of issues concerning pricing, orders-in and invoicing by interacting and communicating with sales department.
Ensures all direct reports execute objectives by the use of a developmental plan/ninety (90) day plan and regular performance reviews; posting productivity, quality and deadline results.
Maintains positive internal working relationships with all department employees by communicating in a professional manner.
Completes site reports and other paperwork on time and accurately.
Completes month-end management report in the absence of Site Manager.
Possesses ability to manage financial results by interpreting projecting, managing declining balances and reconciling profit and loss statement.
Responsible for managing P&L.
Performs other duties as assigned.

QUALIFICATIONS (Education, Experience, and Certifications)


Typically Requires:
Requires high school diploma or GED and 2+ years of experience in a related field.
Minimum of 2 years experience in the legal industry is strongly preferred
Requires experience in delivering classroom and/or informal training sessions.
Requires experience in operation of the most advanced machines, performing complex jobs.
Requires experience in setting goals by defining and prioritizing specific, realistic objectives.

Ricoh is an EEO/Affirmative Action Employer -- Minorities/Women/Protected Veterans/Disabled."
Plumbing Service Technician - Immediate Openings in San Jose,ARS Rescue Rooter,"Bell Gardens, CA","IF YOU WANT TO BE PART OF A WINNING TEAM...AND WORK FOR THE TOP COMPANIES IN THE INDUSTRY ...JOIN OUR TEAM AT ARS/RESCUE ROOTER!
 
 One of the nation's leading residential and commercial service companies, ARS/RESCUE ROOTER, is currently looking for plumbers to service our communities in the SANTA CLARA AREA. A qualified journeyman plumber will apply their technical skills and knowledge in the assembly, installation, maintenance, remodeling, repair and servicing of plumbing and drainage systems. ARS offers Competitive Compensation, Excellent Benefits, Company Vehicle, Paid Training, Advancement Opportunities, and the professional advantage of being part of the RESPECTED LEADER IN THE HOME SERVICES INDUSTRY!"
CONSTRUCTION LABORERS NEEDED,PeopleReady,"Burbank, CA"," PeopleReady Skilled Trades (formerly CLP Resources Inc.) is calling all experienced construction laborers!

We are now hiring for projects throughout Los Angeles County. Positions range between $14.00-$15.00 per hour based upon duties and experience. This is non-union related employment that pays weekly, offers flexibility, benefits, and exposure to big players within the industry!
 
 Qualified candidates meet the following criteria:

At least 18 years of age or older
Authorized to work for any employer in the U.S. and furnish right-to-work documents (we E-Verify)
Has a minimum of 2 recent years of experience within construction
Owns reliable transportation to travel about Los Angeles County for assignments
Owns tools of the trade and safety gear such as steel-toed boots, hard hat, gloves, vest, etc.
Is open to working short as well as long-term assignments
Has great people skills

If this sounds like you then what are you waiting for?! APPLY TODAY!
JB.0.00.LN

Construction Labor,Construction Laborers,Construction Laborers and Helpers,Construction worker,Construction Helper,General Construction Laborer"
