NRSCE 105,Nursing Pharmacology,Th 11:30AM - 12:55PM,02/04/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 105,Nursing Pharmacology,Th 11:30AM - 12:55PM,02/04/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 105,Nursing Pharmacology,Th 11:30AM - 12:55PM,02/04/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 105,Nursing Pharmacology,Th 11:30AM - 12:55PM,02/04/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 106,Medical-Surgical Nursing I,TuTh 8:30AM - 11:50AM,02/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 106,Medical-Surgical Nursing I,TuTh 8:30AM - 11:40AM,04/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 107,Medical-Surgical Nursing II,Tu 12:30PM - 4:00PMTh 8:30AM - 11:40AM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 107,Medical-Surgical Nursing II,Tu 12:30PM - 3:40PMTh 8:30AM - 11:40AM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 108,Medical-Surgical Nursing III,Th 8:30AM - 11:00AMFr 10:00AM - 12:25PM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 108,Medical-Surgical Nursing III,Th 8:30AM - 10:00AMFr 10:00AM - 12:25PM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 109,Gerontology & Community Based Nursing,Tu 9:00AM - 11:05AM,02/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 109,Gerontology & Community Based Nursing,Tu 9:00AM - 11:05AM,04/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 110,Psychiatric-Mental  Health Nursing,Th 9:00AM - 12:35PM,02/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 110,Psychiatric-Mental  Health Nursing,Th 9:00AM - 12:10PM,04/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 111,Reproductive Nursing And Womens Health,Th 9:45AM - 12:20PMMo 9:00AM - 10:50AM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 111,Reproductive Nursing And Womens Health,Th 9:00AM - 11:15AMMo 9:45AM - 11:35AM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 112,Care Of Children And Family,Mo 1:00PM - 2:50PMTh 8:20AM - 11:10AM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 112,Care Of Children And Family,Mo 1:00PM - 2:15PMTh 8:20AM - 11:10AM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
ALD HTH 021,Basic Life Support For The Healthcare Provider,Sa 8:30AM - 1:00PM4Hr 5Min /Wk TBA,02/09/2019 - 02/14/201902/09/2019 - 02/14/2019,Los Angeles Mission College,ALD HTH,"13356 Eldridge Avenue, Sylmar, CA 91342"
ALD HTH 025A,QUALIFIED AUTISM SERVICE PARAPROFESSIONAL - DIDACTIC,We 4:00PM - 7:30PM,03/06/2019 - 06/02/2019,West Los Angeles College,ALD HTH,"9000 Overland Avenue, Culver City, CA 90230"
ALD HTH 033,Medical Terminology,Mo 5:10PM - 9:20PM2Hr 35Min /Wk TBA,02/04/2019 - 03/25/201902/04/2019 - 03/25/2019,West Los Angeles College,ALD HTH,"9000 Overland Avenue, Culver City, CA 90230"
ALD HTH 056,Communication & Customer Service Skills In Healthcare,Sa 9:00AM - 11:50AM,02/04/2019 - 03/27/2019,East Los Angeles College,ALD HTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
ALD HTH 057,Computers In Health Occupations,Sa 9:00AM - 9:50AM,04/08/2019 - 06/03/2019,East Los Angeles College,ALD HTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
ALD HTH 057,Computers In Health Occupations,Sa 10:00AM - 12:05PM,04/08/2019 - 06/03/2019,East Los Angeles College,ALD HTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 002,Health And Fitness,MoWe 11:10AM - 12:10PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 002,Health And Fitness,TuTh 11:10AM - 12:10PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 002,Health And Fitness,TuTh 4:40PM - 5:30PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 002,Health And Fitness,Th 6:50PM - 8:55PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 002,Health And Fitness,MoWe 8:20AM - 9:20AM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 002,Health And Fitness,MoWe 9:35AM - 10:35AM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 002,Health And Fitness,MoWe 12:10PM - 1:15PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 002,Health And Fitness,MoWe 1:15PM - 2:20PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 002,Health And Fitness,Fr 9:00AM - 11:05AM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 002,Health And Fitness,Fr 11:05AM - 1:10PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 002,Health And Fitness,MoWe 9:00AM - 10:05AM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 002,Health And Fitness,MoWe 10:05AM - 11:10AM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 002,Health And Fitness,TuTh 6:00PM - 7:05PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 002,Health And Fitness,TuTh 7:05PM - 8:10PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 002,Health And Fitness,Fr 8:00AM - 10:10AM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 002,Health And Fitness,Fr 10:10AM - 12:30PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 002,Health And Fitness,Tu 5:45PM - 7:50PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 002,Health And Fitness,Tu 7:50PM - 9:55PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 002,Health And Fitness,MoWe 11:10AM - 12:15PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 002,Health And Fitness,MoWe 12:20PM - 1:25PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 002,Health And Fitness,TuTh 11:10AM - 12:15PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 002,Health And Fitness,TuTh 12:20PM - 1:25PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 002,Health And Fitness,TuTh 8:00AM - 9:05AM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 002,Health And Fitness,TuTh 9:05AM - 10:10AM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 002,Health And Fitness,We 4:35PM - 6:40PM2Hr 5Min /Wk TBA,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 002,Health And Fitness,Sa 8:00AM - 12:15PM,04/08/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 002,Health And Fitness,We 10:00AM - 1:00PM1Hr 15Min /Wk TBA,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 002,Health And Fitness,Sa 8:15AM - 12:00PM0Hr 30Min /Wk TBA,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 002,Health And Fitness,Mo 1:20PM - 3:25PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 002,Health And Fitness,Mo 3:35PM - 5:40PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 003,Cardiopulmonary Resuscitation,We 6:50PM - 9:50PMWe 6:50PM - 9:50PMWe 6:50PM - 9:50PM0Hr 50Min /Wk TBA,02/04/2019 - 02/07/201904/10/2019 - 04/14/201903/06/2019 - 03/07/201902/04/2019 - 04/14/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 003,Cardiopulmonary Resuscitation,Fr 1:00PM - 5:00PM9Hr 50Min /Wk TBA,05/03/2019 - 05/10/201905/03/2019 - 05/10/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 003,Cardiopulmonary Resuscitation,Mo 6:00PM - 9:50PM9Hr 50Min /Wk TBA,03/04/2019 - 03/11/201903/04/2019 - 03/11/2019,Instructional Television,HEALTH,"5800 Fulton Avenue, Valley Glen, CA 91401"
HEALTH 006,Nutrition For Healthful Living And Fitness Activities,TuTh 11:10AM - 12:00PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 006,Nutrition For Healthful Living And Fitness Activities,TuTh 12:00PM - 12:50PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HEALTH,"1111 Figueroa Place, Wilmington, CA 90744"
HEALTH 006,Nutrition For Healthful Living And Fitness Activities,We 5:00PM - 7:05PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 006,Nutrition For Healthful Living And Fitness Activities,We 7:15PM - 9:20PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 007,Physical Fitness And Nutrition,TuTh 9:00AM - 10:25AM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 007,Physical Fitness And Nutrition,MoWe 10:35AM - 12:00PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 007,Physical Fitness And Nutrition,MoWe 9:00AM - 10:25AM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 007,Physical Fitness And Nutrition,TuTh 11:10AM - 12:35PM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 007,Physical Fitness And Nutrition,MoWe 5:15PM - 6:40PM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 008,Women's Personal Health,TuTh 9:35AM - 11:00AM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 008,Women's Personal Health,MoWe 2:30PM - 3:55PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 008,Women's Personal Health,TuTh 10:35AM - 12:00PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 008,Women's Personal Health,MoWe 12:10PM - 1:35PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 008,Women's Personal Health,TuTh 9:00AM - 10:25AM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 008,Women's Personal Health,TuTh 7:25AM - 8:50AM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 008,Women's Personal Health,TuTh 1:45PM - 3:10PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 008,Women's Personal Health,MoWe 10:35AM - 12:00PM,02/04/2019 - 06/03/2019,Instructional Television,HEALTH,Instructional Television
HEALTH 008,Women's Personal Health,Tu 6:00PM - 9:10PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 008,Women's Personal Health,MoWe 10:35AM - 12:00PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 008,Women's Personal Health,TuTh 8:55AM - 10:20AM,02/04/2019 - 06/03/2019,Los Angeles Mission College,HEALTH,"13356 Eldridge Avenue, Sylmar, CA 91342"
HEALTH 008,Women's Personal Health,MoWe 10:35AM - 12:00PM,02/04/2019 - 06/03/2019,Los Angeles Mission College,HEALTH,"13356 Eldridge Avenue, Sylmar, CA 91342"
HEALTH 008,Women's Personal Health,Th 6:50PM - 10:00PM,02/04/2019 - 06/03/2019,Los Angeles Mission College,HEALTH,"13356 Eldridge Avenue, Sylmar, CA 91342"
HEALTH 008,Women's Personal Health,MoWe 8:00AM - 9:25AM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 008,Women's Personal Health,TuTh 9:35AM - 11:00AM,02/04/2019 - 06/03/2019,Pierce College,HEALTH,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
HEALTH 008,Women's Personal Health,TuTh 8:00AM - 9:25AM,02/04/2019 - 06/03/2019,Los Angeles Southwest College,HEALTH,"1600 West Imperial Highway, Los Angeles, CA 90047"
HEALTH 008,Women's Personal Health,MoWe 1:20PM - 2:45PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 008,Women's Personal Health,TuTh 2:50PM - 4:15PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,HEALTH,"400 W. Washington Blvd, Los Angeles, CA 90015"
HEALTH 011,Principles Of Healthful Living,TuTh 2:20PM - 3:45PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 011,Principles Of Healthful Living,MoWe 2:20PM - 3:45PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 011,Principles Of Healthful Living,We 6:50PM - 10:00PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 011,Principles Of Healthful Living,Sa 8:00AM - 11:10AM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 011,Principles Of Healthful Living,TuTh 3:30PM - 4:55PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 011,Principles Of Healthful Living,MoWe 3:15PM - 4:40PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 011,Principles Of Healthful Living,MoWe 3:10PM - 4:35PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 011,Principles Of Healthful Living,MoWe 3:30PM - 4:55PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 011,Principles Of Healthful Living,MoWe 3:30PM - 4:55PM,02/04/2019 - 06/03/2019,Los Angeles City College,HEALTH,"855 N. Vermont Avenue, Los Angeles, CA 90029"
HEALTH 011,Principles Of Healthful Living,TuTh 7:25AM - 8:50AM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HEALTH 011,Principles Of Healthful Living,MoWe 1:45PM - 3:10PM,02/04/2019 - 06/03/2019,East Los Angeles College,HEALTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
