Bigram,Frequency,Label
patient education,63,Soft skill
valid drivers,63,Hard skill
california registered,62,Hard skill
care center,62,Hard skill
computer skills,62,Hard skill
decision making,62,Soft skill
demonstrated knowledge,62,Hard skill
hearing exciting,62,Hard skill
patient safety,62,Hard skill
science nursing,62,Hard skill
allied health,61,Hard skill
covenant care,61,Hard skill
patient outcomes,61,Hard skill
performs duties,61,Hard skill
residents families,61,Hard skill
ability make,60,Soft skill
physical exam,60,Hard skill
physician orders,60,Hard skill
support services,60,Hard skill
dressing grooming,59,Hard skill
share passion,59,Soft skill
verbal written,59,Soft skill
health hospice,58,Hard skill
living home,58,Hard skill
teammates residents,58,Soft skill
working relationships,58,Soft skill
neonatal intensive,57,Hard skill
utilization review,57,Hard skill
qualifications education,56,Hard skill
timely manner,56,Soft skill
medication management,55,Hard skill
within three,55,Hard skill
2000 hours,54,Hard skill
accurate timely,54,Soft skill
area specialty,54,Hard skill
clinical area,54,Hard skill
must licensed,54,Hard skill
resident services,54,Hard skill
wound care,54,Hard skill
years graduation,54,Hard skill
highquality care,53,Hard skill
independent living,53,Hard skill
care needs,51,Hard skill
care provided,51,Hard skill
direct care,51,Hard skill
exceptional care,51,Hard skill
graduate approved,51,Hard skill
handle multiple,51,Hard skill
valid california,51,Hard skill
managed care,50,Hard skill
professional manner,50,Hard skill
reliable transportation,50,Hard skill
healthcare professionals,49,Hard skill
preferred ability,49,Hard skill
qualifications graduate,49,Hard skill
