cofo_number,date,year,status,permit_number,permit_type,permit_subtype,address,zip,homes,stories,building_size,zone,census_tract,lat,lon
122310,7/17/15,2015,CofO Issued,13010-10000-03194,Bldg-New,1 or 2 Family Dwelling,2914 N CHADWICK DR,90032,1,2,001 unit,[Q]R1-1D,2015.04,34.07979,-118.1746
129747,4/4/16,2016,CofO Issued,13010-10000-03608,Bldg-New,Commercial,3559 N PUEBLO AVE,90032,2,2,002-004 units,[Q]C4-1XL,2015.03,34.08698,-118.17462
149317,3/28/17,2017,CofO Issued,15010-70000-02498,Bldg-New,1 or 2 Family Dwelling,2900 N CHADWICK DR,90032,1,2,001 unit,[Q]R1-1D,2015.04,34.07964,-118.17468
101948,3/12/13,2013,CofO Issued,12016-10000-00661,Bldg-Alter/Repair,Apartment,729 N AVENUE 66 ,90042,2,2,002-004 units,RD2-1-HPOZ,1831.02,34.11948,-118.17505
114535,6/29/16,2016,CofO Issued,12010-10000-01753,Bldg-New,1 or 2 Family Dwelling,3986 N DRYSDALE AVE,90032,1,2,001 unit,[Q]R1-1D,2011.1,34.09228,-118.17519
140252,12/15/16,2016,CofO Issued,14014-10000-03795,Bldg-Addition,1 or 2 Family Dwelling,3907 N DRYSDALE AVE,90032,1,1,001 unit,[Q]R1-1D,2011.1,34.09015,-118.17531
114005,10/22/14,2014,CofO Issued,12010-10000-01759,Bldg-New,1 or 2 Family Dwelling,4873 E FARQUHAR ST,90032,1,2,001 unit,[Q]R1-1D,2017,34.06521,-118.17565
114006,10/22/14,2014,CofO Issued,12010-10000-01760,Bldg-New,1 or 2 Family Dwelling,4877 E FARQUHAR ST,90032,1,2,001 unit,[Q]R1-1D,2017,34.06509,-118.17566
148595,11/20/16,2016,CofO Issued,15010-10000-03382,Bldg-New,1 or 2 Family Dwelling,4893 E AXTELL ST,90032,1,1,001 unit,RD3-1,2015.03,34.0852,-118.17623
144488,3/28/17,2017,CofO Issued,15010-20000-03065,Bldg-New,1 or 2 Family Dwelling,4843 E SELDNER ST,90032,1,2,001 unit,[Q]R1-1D,2017,34.06401,-118.17632
139055,8/19/17,2017,CofO Issued,13010-10000-04208,Bldg-New,1 or 2 Family Dwelling,5015 E LA CALANDRIA DR,90032,1,3,001 unit,[Q]R1-1D,2016.01,34.07463,-118.17649
120888,7/22/17,2017,CofO Issued,12016-10000-22843,Bldg-Alter/Repair,1 or 2 Family Dwelling,1121 N AVENUE 64 ,90042,1,0,001 unit,R1-1-HPOZ,1831.01,34.12583,-118.17678
147544,1/11/19,2019,CofO Issued,14010-10000-02814,Bldg-New,1 or 2 Family Dwelling,4911 E KIMBALL ST,90032,1,2,001 unit,[Q]R1-1D,2016.01,34.07459,-118.17766
112625,7/30/13,2013,CofO Issued,01010-70000-01982,Bldg-New,1 or 2 Family Dwelling,4943 E RENOVO ST,90032,1,1,001 unit,R1-1,2012,34.09094,-118.17768
144029,8/9/16,2016,CofO Corrected,15010-10000-03355,Bldg-New,1 or 2 Family Dwelling,4943 E RENOVO ST,90032,1,1,001 unit,[Q]R1-1D,2012,34.09094,-118.17768
121412,2/6/16,2016,CofO Corrected,13010-10000-01327,Bldg-New,1 or 2 Family Dwelling,4905 E KIMBALL ST,90032,1,3,001 unit,[Q]R1-1D,2016.01,34.07449,-118.17798
158010,3/18/17,2017,CofO Issued,16016-10000-27528,Bldg-Alter/Repair,1 or 2 Family Dwelling,6515 E CRESCENT ST,90042,1,1,001 unit,RD2-1-HPOZ,1831.03,34.11664,-118.178
155762,8/27/17,2017,CofO Issued,04014-20000-01127,Bldg-Addition,1 or 2 Family Dwelling,2204 N BRAWLEY ST,90032,1,1,001 unit,RD2-1,2016,34.06976,-118.17800
130279,11/15/16,2016,CofO Issued,14010-20000-02983,Bldg-New,1 or 2 Family Dwelling,828 N CRESTHAVEN DR,90042,1,2,001 unit,R1-1-HPOZ,1831.01,34.1219,-118.17801
164055,10/2/18,2018,CofO Issued,16010-10000-05497,Bldg-New,1 or 2 Family Dwelling,6511 E CRESCENT ST,90042,1,2,001 unit,RD2-1-HPOZ,1831.03,34.11669,-118.17811
141750,11/14/17,2017,CofO Issued,15010-10000-02620,Bldg-New,1 or 2 Family Dwelling,6427 E ELGIN ST,90042,1,1,001 unit,RD2-1-HPOZ,1831.03,34.1179,-118.17832
159231,11/13/18,2018,CofO Issued,16010-10000-05251,Bldg-New,1 or 2 Family Dwelling,3342 N THELMA AVE,90032,1,2,001 unit,RD1.5-1,2014.01,34.08486,-118.17898
101105,8/28/15,2015,CofO Issued,08010-10000-01717,Bldg-New,1 or 2 Family Dwelling,3851 N RANDOLPH AVE,90032,1,2,001 unit,[Q] RD3-1D,2012,34.09124,-118.17979
144814,8/9/17,2017,CofO Issued,15016-10000-01340,Bldg-Alter/Repair,Commercial,6435 E YORK BLVD,90042,1,,001 unit,[Q]C4-1XL-HPOZ,1831.03,34.11418,-118.18029
128375,4/5/16,2016,CofO Issued,14010-20000-00523,Bldg-New,1 or 2 Family Dwelling,6247 N PINE CREST DR,90042,1,1,001 unit,[Q]R1-1D,1837.02,34.10813,-118.18044
125052,3/14/16,2016,CofO Issued,11010-10000-01329,Bldg-New,1 or 2 Family Dwelling,707 S AVENUE 60 ,90042,1,2,001 unit,[Q]R1-1D,1837.02,34.10479,-118.18065
145020,3/3/18,2018,CofO Issued,14010-10000-03246,Bldg-New,1 or 2 Family Dwelling,1210 N AVENUE 63 ,91105,1,2,001 unit,R1-1,1831.01,34.12736,-118.18088
98657,9/6/13,2013,CofO Issued,11010-20000-01211,Bldg-New,1 or 2 Family Dwelling,6227 N PINE CREST DR,90042,1,2,001 unit,[Q]R1-1D,1837.02,34.10764,-118.18111
98651,9/9/13,2013,CofO Issued,11010-20000-01199,Bldg-New,1 or 2 Family Dwelling,6223 N PINE CREST DR,90042,1,2,001 unit,[Q]R1-1D,1837.02,34.10764,-118.18111
148096,3/13/17,2017,CofO Issued,16016-10000-03731,Bldg-Alter/Repair,Apartment,6311 E MONTEREY ROAD,90042,40,,020-049 units,R1-1,1837.02,34.10884,-118.18147
126018,9/8/16,2016,CofO Issued,12010-20000-01649,Bldg-New,1 or 2 Family Dwelling,400 N KIRBY ST,90042,1,2,001 unit,R1-1,1831.01,34.12234,-118.18335
31179,9/28/15,2015,CofO Issued,05010-10000-06801,Bldg-New,1 or 2 Family Dwelling,6403 N FIGUEROA ST,90042,1,2,001 unit,RD1.5-1,1831.01,34.11809,-118.18378
134771,5/26/15,2015,CofO Issued,14016-10000-23918,Bldg-Alter/Repair,Commercial,6311 N FIGUEROA ST,90042,1,,001 unit,[Q]C4-1VL,1832.2,34.11582,-118.18427
142120,6/16/16,2016,CofO Issued,14010-70000-03573,Bldg-New,1 or 2 Family Dwelling,543 E COLEMAN AVE,90042,1,2,001 unit,R1-1,1837.02,34.10274,-118.18445
135105,4/4/19,2019,CofO Issued,14010-10000-02427,Bldg-New,1 or 2 Family Dwelling,4564 E CATALPA ST,90032,2,3,002-004 units,RD2-1,2014.02,34.06318,-118.18493
110064,4/25/14,2014,CofO Issued,12010-10000-01521,Bldg-New,1 or 2 Family Dwelling,4553 E RICHELIEU TER,90032,1,2,001 unit,[Q]R1-1D,2014.01,34.07656,-118.18503
135102,1/29/16,2016,CofO Issued,15016-10000-03294,Bldg-Alter/Repair,1 or 2 Family Dwelling,6727 N FIGUEROA ST,90042,1,0,001 unit,RD1.5-1,1832.21,34.1244,-118.18595
145661,2/7/18,2018,CofO Issued,15010-20000-00774,Bldg-New,1 or 2 Family Dwelling,1854 N BOCA AVE,90032,1,2,001 unit,[Q]R1-1D,2014.02,34.06422,-118.18604
113054,11/6/13,2013,CofO Issued,13014-10000-01766,Bldg-Addition,1 or 2 Family Dwelling,5543 E VIA MARISOL ,90042,1,1,001 unit,RD1.5-1,1837.02,34.10408,-118.18676
130426,12/2/17,2017,CofO Issued,14010-10000-01479,Bldg-New,1 or 2 Family Dwelling,1052 N GLEN ARBOR AVE,90041,1,2,001 unit,R1-1,1815,34.13362,-118.18741
130424,11/22/17,2017,CofO Issued,14010-10000-01480,Bldg-New,1 or 2 Family Dwelling,1046 N GLEN ARBOR AVE,90041,1,2,001 unit,R1-1,1815,34.13356,-118.18756
35814,3/29/13,2013,CofO Issued,06010-10000-01122,Bldg-New,1 or 2 Family Dwelling,4414 E JASPER ST,90032,1,3,001 unit,R1-1,2014.01,34.08026,-118.18816
56053,3/12/14,2014,CofO Issued,05010-10000-06241,Bldg-New,1 or 2 Family Dwelling,6166 E MESA AVE,90042,1,2,001 unit,RD2-1,1836.2,34.11682,-118.18854
56052,3/12/14,2014,CofO Issued,05010-10000-06240,Bldg-New,1 or 2 Family Dwelling,6166 E MESA AVE,90042,1,2,001 unit,RD2-1,1836.2,34.11682,-118.18854
56054,3/12/14,2014,CofO Issued,05010-10000-06242,Bldg-New,1 or 2 Family Dwelling,6170 E MESA AVE,90042,1,2,001 unit,RD2-1,1836.2,34.11682,-118.18854
56055,3/12/14,2014,CofO Issued,05010-10000-06243,Bldg-New,1 or 2 Family Dwelling,6168 E MESA AVE,90042,1,2,001 unit,RD2-1,1836.2,34.11682,-118.18854
56051,3/12/14,2014,CofO Issued,05010-10000-06239,Bldg-New,1 or 2 Family Dwelling,6164 E MESA AVE,90042,1,2,001 unit,RD2-1,1836.2,34.11682,-118.18854
56034,3/12/14,2014,CofO Issued,05010-10000-04554,Bldg-New,1 or 2 Family Dwelling,6172 E MESA AVE,90042,1,2,001 unit,RD2-1,1836.2,34.11682,-118.18854
115805,4/29/14,2014,CofO Corrected,12010-20000-02668,Bldg-New,1 or 2 Family Dwelling,1508 N MERCURY DR,90042,1,2,001 unit,R1-1,1832.1,34.12695,-118.18855
115806,5/6/14,2014,CofO Corrected,12010-20000-02669,Bldg-New,1 or 2 Family Dwelling,1516 N MERCURY DR,90042,1,3,001 unit,R1-1,1832.21,34.12703,-118.18861
115811,5/6/14,2014,CofO Corrected,13010-20000-00641,Bldg-New,1 or 2 Family Dwelling,1522 N MERCURY DR,90042,1,3,001 unit,R1-1,1832.1,34.12706,-118.18869
115812,5/6/14,2014,CofO Corrected,13010-20000-00642,Bldg-New,1 or 2 Family Dwelling,1528 N MERCURY DR,90042,1,3,001 unit,R1-1,1832.1,34.12708,-118.18877
115813,4/29/14,2014,CofO Corrected,13010-20000-00643,Bldg-New,1 or 2 Family Dwelling,1536 N MERCURY DR,90042,1,3,001 unit,R1-1,1832.1,34.12710,-118.18888
125805,7/17/15,2015,CofO Issued,13010-10000-03747,Bldg-New,1 or 2 Family Dwelling,6161 E MESA AVE,90042,2,2,002-004 units,RD2-1,1836.2,34.11707,-118.18889
115807,4/29/14,2014,CofO Corrected,12010-20000-02670,Bldg-New,1 or 2 Family Dwelling,1542 N MERCURY DR,90042,1,3,001 unit,R1-1,1832.2,34.12713,-118.18896
125804,7/23/15,2015,CofO Issued,13010-10000-03746,Bldg-New,1 or 2 Family Dwelling,6159 E MESA AVE,90042,2,3,002-004 units,RD2-1,1836.2,34.11707,-118.18901
115814,4/29/14,2014,CofO Corrected,13010-20000-00644,Bldg-New,1 or 2 Family Dwelling,1548 N MERCURY DR,90042,1,3,001 unit,R1-1,1832.1,34.12716,-118.18903
146774,10/30/16,2016,CofO Issued,15016-10000-27645,Bldg-Alter/Repair,1 or 2 Family Dwelling,6157 E MESA AVE,90042,1,0,001 unit,RD2-1,1836.2,34.11703,-118.18906
141392,11/22/17,2017,CofO Issued,14010-10000-02258,Bldg-New,1 or 2 Family Dwelling,6011 E ROY ST,90042,1,2,001 unit,R1-1,1832.21,34.1223,-118.18906
153009,6/2/17,2017,CofO Issued,15016-10000-07092,Bldg-Alter/Repair,1 or 2 Family Dwelling,4539 E FERNTOP DR,90032,1,1,001 unit,[Q]C4-1VL,2014.01,34.08239,-118.18923
118749,3/11/14,2014,CofO Issued,13010-20000-02220,Bldg-New,1 or 2 Family Dwelling,5928 E WEAVER ST,90042,1,1,001 unit,R1-1,1832.2,34.12106,-118.18935
139612,9/8/16,2016,CofO Issued,15010-20000-01342,Bldg-New,1 or 2 Family Dwelling,6178 E ALDAMA ST,90042,2,3,002-004 units,RD2-1,1836.2,34.11776,-118.18964
139643,9/17/16,2016,CofO Issued,15010-20000-01343,Bldg-New,1 or 2 Family Dwelling,6178 E ALDAMA ST,90042,2,3,002-004 units,RD2-1,1836.2,34.11776,-118.18964
94668,3/28/13,2013,CofO Issued,10014-10000-04513,Bldg-Addition,Apartment,6176 E ALDAMA ST,90042,3,2,002-004 units,RD2-1,1836.2,34.11769,-118.18985
142250,2/24/17,2017,CofO Issued,15010-10000-03066,Bldg-New,1 or 2 Family Dwelling,6127 E MESA AVE,90042,2,3,002-004 units,RD2-1,1836.2,34.11617,-118.19019
142247,2/24/17,2017,CofO Issued,15010-10000-03063,Bldg-New,1 or 2 Family Dwelling,6127 E MESA AVE,90042,2,3,002-004 units,RD2-1,1836.2,34.11617,-118.19019
169434,7/19/18,2018,CofO Issued,17010-70000-02146,Bldg-New,1 or 2 Family Dwelling,4522 E HUNTINGTON DR,90032,2,3,002-004 units,RD2-1,2013.01,34.08413,-118.19022
125613,1/7/15,2015,CofO Issued,14014-70000-02043,Bldg-Addition,1 or 2 Family Dwelling,4512 E HUNTINGTON DR,90032,1,2,001 unit,RD2-1,2013.01,34.08398,-118.19033
123110,10/6/15,2015,CofO Issued,13010-70000-01717,Bldg-New,Apartment,4621 E FERN PL,90032,5,2,005-009 units,RD1.5-1,2013.01,34.0819,-118.19049
116872,9/2/14,2014,CofO Issued,13010-20000-01684,Bldg-New,1 or 2 Family Dwelling,6152 E ALDAMA ST,90042,2,2,002-004 units,RD2-1,1836.2,34.11739,-118.19051
112596,8/13/13,2013,CofO Issued,13016-10000-06153,Bldg-Alter/Repair,1 or 2 Family Dwelling,6148 E ALDAMA ST,90042,1,,001 unit,RD2-1,1836.2,34.11736,-118.19056
136663,7/18/17,2017,CofO Issued,13010-30000-03745,Bldg-New,1 or 2 Family Dwelling,5815 E SPRINGVALE DR,90042,1,2,001 unit,R1-1,1832.21,34.12311,-118.19062
102374,4/23/13,2013,CofO Issued,11010-10000-02471,Bldg-New,1 or 2 Family Dwelling,3537 N AMETHYST ST,90032,1,1,001 unit,R1-1,2013.01,34.08463,-118.19077
141234,9/27/16,2016,CofO Issued,15010-10000-02450,Bldg-New,1 or 2 Family Dwelling,915 N CRESTWOOD TER,90042,1,1,001 unit,R1-1,1832.22,34.13068,-118.19077
65412,3/3/18,2018,CofO Issued,07016-10000-15061,Bldg-Alter/Repair,1 or 2 Family Dwelling,5850 E BUENA VISTA TER,90042,1,0,001 unit,R1-1,1832.1,34.13110,-118.19136
162377,1/16/18,2018,CofO Issued,17016-20000-02382,Bldg-Alter/Repair,1 or 2 Family Dwelling,1123 W OAK GROVE DR,90041,1,0,001 unit,R1-1,1832.22,34.13274,-118.19182
174092,11/6/18,2018,CofO Issued,16010-70000-05388,Bldg-New,1 or 2 Family Dwelling,4508 E ESMERALDA ST,90032,2,2,002-004 units,RD1.5-1,2013.01,34.08105,-118.19188
124037,4/9/15,2015,CofO Issued,13010-10000-03766,Bldg-New,1 or 2 Family Dwelling,5806 E TIPTON WAY,90042,1,2,001 unit,R1-1,1832.21,34.12944,-118.19194
174093,11/6/18,2018,CofO Issued,16010-70000-05390,Bldg-New,1 or 2 Family Dwelling,4510 E ESMERALDA ST,90032,2,2,002-004 units,RD1.5-1,2013.01,34.08135,-118.19201
137911,6/29/16,2016,CofO Issued,15016-20000-02741,Bldg-Alter/Repair,Apartment,4467 E TOURMALINE ST,90032,1,2,001 unit,RD1.5-1,1991.1,34.07945,-118.1926
121116,1/23/15,2015,CofO Issued,13010-10000-03532,Bldg-New,1 or 2 Family Dwelling,1501 N HIGHGATE AVE,90042,1,3,001 unit,R1-1,1832.21,34.12695,-118.1927
97847,1/10/16,2016,CofO Issued,11010-10000-00203,Bldg-New,1 or 2 Family Dwelling,5728 E BUCHANAN ST,90042,1,1,001 unit,RD2-1,1836.2,34.11755,-118.19291
165982,6/7/18,2018,CofO Issued,17010-10000-01766,Bldg-New,1 or 2 Family Dwelling,3672 E PERCY ST,90023,2,2,002-004 units,RD1.5-1-CUGU,2049.1,34.02557,-118.19323
165981,6/7/18,2018,CofO Issued,17010-10000-01765,Bldg-New,1 or 2 Family Dwelling,3672 E PERCY ST,90023,2,2,002-004 units,RD1.5-1-CUGU,2049.1,34.02557,-118.19323
165985,6/7/18,2018,CofO Issued,17010-10000-01767,Bldg-New,1 or 2 Family Dwelling,3672 E PERCY ST,90023,2,2,002-004 units,RD1.5-1-CUGU,2049.1,34.02557,-118.19323
108980,8/24/15,2015,CofO Issued,12010-10000-01020,Bldg-New,1 or 2 Family Dwelling,1335 W SAGINAW ST,90041,1,2,001 unit,R1-1,1815,34.13764,-118.19335
136306,1/21/16,2016,CofO Issued,15016-70000-02635,Bldg-Alter/Repair,1 or 2 Family Dwelling,3670 E PERCY ST,90023,1,,001 unit,RD1.5-1,2049.1,34.02563,-118.19338
148511,4/19/17,2017,CofO Issued,16010-10000-00961,Bldg-New,1 or 2 Family Dwelling,5717 E HANEMAN ST,90042,1,2,001 unit,R1-1,1832.21,34.12792,-118.19357
132298,4/2/16,2016,CofO Issued,14014-20000-04571,Bldg-Addition,1 or 2 Family Dwelling,410 S AVENUE 56 ,90042,1,2,001 unit,RD2-1,1838.2,34.10356,-118.1936
120133,11/13/14,2014,CofO Issued,13010-10000-02538,Bldg-New,1 or 2 Family Dwelling,1034 N STONE ST,90063,1,2,001 unit,R2-1,2032,34.04979,-118.19367
120977,12/15/15,2015,CofO Issued,12010-10000-02655,Bldg-New,1 or 2 Family Dwelling,1221 W VALROSE CT,90041,1,1,001 unit,R1-1,1815,34.13774,-118.19369
160371,8/4/18,2018,CofO Issued,16010-70000-03158,Bldg-New,1 or 2 Family Dwelling,3652 E PERCY ST,90023,2,2,002-004 units,RD1.5-1-CUGU,2049.1,34.02578,-118.19393
160372,10/20/18,2018,CofO Issued,16010-70000-03159,Bldg-New,1 or 2 Family Dwelling,3650 E PERCY ST,90023,2,2,002-004 units,RD1.5-1-CUGU,2049.1,34.0258,-118.19398
160373,10/20/18,2018,CofO Issued,16010-70000-03160,Bldg-New,1 or 2 Family Dwelling,3648 E PERCY ST,90023,2,2,002-004 units,RD1.5-1-CUGU,2049.1,34.02582,-118.19402
155067,3/3/17,2017,CofO Issued,16016-30000-24533,Bldg-Alter/Repair,1 or 2 Family Dwelling,3504 E EAGLE ST,90063,1,,001 unit,R2-1-CUGU,2039,34.03159,-118.19419
165357,5/12/18,2018,CofO Issued,17010-10000-01353,Bldg-New,1 or 2 Family Dwelling,3640 E PERCY ST,90023,2,2,002-004 units,RD1.5-1-CUGU,2049.1,34.02591,-118.19423
132367,10/27/15,2015,CofO Issued,14014-20000-04823,Bldg-Addition,1 or 2 Family Dwelling,1642 N MURCHISON ST,90033,1,1,001 unit,RD2-1,2031,34.06157,-118.19431
165359,5/12/18,2018,CofO Issued,17010-10000-01352,Bldg-New,1 or 2 Family Dwelling,3638 E PERCY ST,90023,2,2,002-004 units,RD1.5-1-CUGU,2049.1,34.02588,-118.19436
165354,5/12/18,2018,CofO Issued,17010-10000-01351,Bldg-New,1 or 2 Family Dwelling,3638 E PERCY ST,90023,2,2,002-004 units,RD1.5-1-CUGU,2049.1,34.02588,-118.19436
155280,8/15/18,2018,CofO Issued,16010-20000-00063,Bldg-New,1 or 2 Family Dwelling,1437 N AVENUE 57 ,90042,1,3,001 unit,R1-1,1832.21,34.12535,-118.19439
165692,6/2/18,2018,CofO Issued,17010-10000-01770,Bldg-New,1 or 2 Family Dwelling,3636 E PERCY ST,90023,2,2,002-004 units,RD1.5-1-CUGU,2049.1,34.02596,-118.1944
